z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
0.996864, 0.0526534, 3.41759e-10, 0.0385801, 2.48868e-10, 0.0385801, 5.05736e-10, 
0.997352, 0.052653, 1.95311e-10, 0.0385792, 3.52721e-10, 0.0385792, 5.51736e-10, 
0.997764, 0.0526527, 8.10359e-11, 0.0385785, 3.43461e-10, 0.0385785, 5.96448e-10, 
0.998112, 0.0526525, 1.18549e-10, 0.038578, 3.65835e-10, 0.038578, 5.63391e-10, 
0.998405, 0.0526524, 1.86577e-10, 0.0385777, 3.9359e-10, 0.0385777, 5.63783e-10, 
0.998653, 0.0526522, 2.27155e-10, 0.0385774, 4.41331e-10, 0.0385774, 5.5134e-10, 
0.998863, 0.0526522, 2.22786e-10, 0.0385772, 4.81884e-10, 0.0385772, 5.34082e-10, 
0.99904, 0.0526521, 2.17793e-10, 0.0385771, 5.06397e-10, 0.0385771, 5.34262e-10, 
0.999189, 0.0526521, 2.1686e-10, 0.038577, 5.30308e-10, 0.038577, 5.35577e-10, 
0.999315, 0.052652, 2.15663e-10, 0.0385769, 5.52881e-10, 0.0385769, 5.39908e-10, 
0.999422, 0.052652, 2.14417e-10, 0.0385769, 5.74575e-10, 0.0385769, 5.38389e-10, 
0.999512, 0.052652, 2.16666e-10, 0.0385768, 5.9206e-10, 0.0385768, 5.37564e-10, 
0.999588, 0.052652, 2.2052e-10, 0.0385768, 5.80115e-10, 0.0385768, 5.37493e-10, 
0.999652, 0.052652, 2.23731e-10, 0.0385768, 5.65407e-10, 0.0385768, 5.36713e-10, 
0.999706, 0.052652, 2.26425e-10, 0.0385768, 5.58749e-10, 0.0385768, 5.36093e-10, 
0.999752, 0.0526519, 2.28683e-10, 0.0385767, 5.52794e-10, 0.0385767, 5.35587e-10, 
0.99979, 0.0526519, 2.29614e-10, 0.0385767, 5.47652e-10, 0.0385767, 5.35301e-10, 
0.999823, 0.0526519, 2.30627e-10, 0.0385767, 5.43345e-10, 0.0385767, 5.35301e-10, 
0.99985, 0.0526519, 2.31969e-10, 0.0385767, 5.39741e-10, 0.0385767, 5.35297e-10, 
0.999874, 0.0526519, 2.32993e-10, 0.0385767, 5.36703e-10, 0.0385767, 5.35302e-10, 
0.999893, 0.0526519, 2.33597e-10, 0.0385767, 5.35776e-10, 0.0385767, 5.35306e-10, 
0.99991, 0.0526519, 2.34106e-10, 0.0385767, 5.35541e-10, 0.0385767, 5.35309e-10, 
0.999924, 0.0526519, 2.34534e-10, 0.0385767, 5.35388e-10, 0.0385767, 5.3531e-10, 
0.999936, 0.0526519, 2.3491e-10, 0.0385767, 5.3537e-10, 0.0385767, 5.35312e-10, 
0.999946, 0.0526519, 2.35183e-10, 0.0385767, 5.35355e-10, 0.0385767, 5.35313e-10, 
0.999954, 0.0526519, 2.35171e-10, 0.0385767, 5.35343e-10, 0.0385767, 5.35313e-10, 
0.999961, 0.0526519, 2.35172e-10, 0.0385767, 5.35332e-10, 0.0385767, 5.35314e-10, 
0.999967, 0.0526519, 2.35172e-10, 0.0385767, 5.35323e-10, 0.0385767, 5.35314e-10, 
0.999972, 0.0526519, 2.35173e-10, 0.0385767, 5.35316e-10, 0.0385767, 5.35314e-10, 
0.999977, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0385767, 5.35314e-10, 
0.99998, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0385767, 5.35315e-10, 
0.999983, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0385767, 5.35315e-10, 
0.999986, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0385767, 5.35315e-10, 
0.999988, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0385767, 5.35315e-10, 
