#g=2 TStar=1 mDSqr=6 mQSqr=0.666666666666667 qHatBar=3.81971863420549
10 0.846933384427743 0.0980308759193684 0.0728302540439452 0.0681498018309939
10 0.86131174431075 0.0991883541732149 0.0733402229169274 0.0692995852789113
10 0.874339468510382 0.100290444370386 0.0738690049089311 0.0704019078879913
10 0.88614342940736 0.101328312180567 0.0744045860220198 0.0714488189611384
10 0.896838581586073 0.102297420353366 0.0749377714008472 0.0724344910187039
10 0.906529081336469 0.103195203736327 0.0754600431377602 0.0733553773054669
10 0.915309300995177 0.104018530574477 0.0759645421417864 0.0742072381718269
10 0.923264748004195 0.104767530960346 0.0764453672730827 0.0749889308816316
10 0.930472897637503 0.10544313523153 0.0768980258273192 0.0757000202497963
10 0.937003947505256 0.106047509768886 0.0773192666199379 0.0763413325174369
10 0.942921501183384 0.106583014348994 0.0777061256566421 0.0769147851043361
