#g=1.66238255314473 TStar=1 mDSqr=4.1452736295 mQSqr=0.460585958833333 qHatBar=1.82320406220216
10 0.794220143108196 0.0506762600266729 0.0382954565703928 0.034279130902282
10 0.813550137620731 0.0514242718472507 0.0385349152301477 0.0349897747526183
10 0.83106436311924 0.0521633185249468 0.0388091309726698 0.0356954970825105
10 0.846933384427743 0.0528855408548798 0.0391094718617064 0.0363891620837557
10 0.86131174431075 0.0535842556494127 0.0394281540269963 0.0370645963770974
10 0.874339468510382 0.0542538613004341 0.0397581615929441 0.0377164880926188
10 0.88614342940736 0.0548897744481724 0.0400931988245265 0.0383403234516213
10 0.896838581586073 0.0554883849758332 0.0404276647574341 0.0389323496606449
10 0.906529081336469 0.0560470190671874 0.0407566425011096 0.0394895547565088
10 0.915309300995177 0.0565639020865382 0.0410758966162693 0.0400096562716187
10 0.923264748004195 0.0570381148784721 0.0413818728161407 0.0404910915399601
