z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
0.99985, 0.124124, 5.61252e-07, 0.108467, 5.6982e-07, 0.108467, 5.56585e-07, 
0.999874, 0.124124, 4.12789e-07, 0.108467, 4.31321e-07, 0.108467, 5.57328e-07, 
0.999893, 0.124124, 4.20168e-07, 0.108467, 4.32064e-07, 0.108467, 5.57979e-07, 
0.99991, 0.124124, 4.18838e-07, 0.108467, 4.38273e-07, 0.108467, 5.58649e-07, 
0.999924, 0.124124, 4.17932e-07, 0.108467, 4.38766e-07, 0.108467, 5.59139e-07, 
0.999936, 0.124124, 7.71961e-07, 0.108467, 4.39152e-07, 0.108467, 5.59561e-07, 
0.999946, 0.124124, 7.70317e-07, 0.108467, 4.45004e-07, 0.108467, 5.59922e-07, 
0.999954, 0.124124, 7.69072e-07, 0.108467, 4.45263e-07, 0.108467, 5.60231e-07, 
0.999961, 0.124124, 7.68129e-07, 0.108467, 4.45465e-07, 0.108467, 5.60495e-07, 
0.999967, 0.124124, 7.67415e-07, 0.108467, 4.45622e-07, 0.108467, 5.6072e-07, 
0.999972, 0.124124, 7.66873e-07, 0.108467, 4.45747e-07, 0.108467, 5.60911e-07, 
0.999977, 0.124124, 7.6646e-07, 0.108467, 4.45847e-07, 0.108467, 5.61073e-07, 
0.99998, 0.124124, 7.66147e-07, 0.108467, 4.45927e-07, 0.108467, 5.08455e-07, 
0.999983, 0.124124, 7.65909e-07, 0.108467, 5.08484e-07, 0.108467, 5.08479e-07, 
0.999986, -nan, nan, 0.108467, 5.08499e-07, 0.108467, 5.08495e-07, 
0.999988, -nan, nan, 0.108467, 5.08508e-07, 0.108467, 5.08507e-07, 
