# Parameter : G->QQ gs = 1.66238 P = 300 T = 1 z = 0.25 mDSqr= 4.14527 Qs^2 = 10.288 q0= 0.777193 q3= 1.88165 muSqr= 0.444905
 t Sum LODeriv NLODeriv NLODeriv2 LOSpect NLOSpect NLOSpect2 
0.115556 0.0116162 0.00631675 0.00137553 0.00529948 0.0300099 0.0261676 0.0464791
0.116444 0.0116728 0.00635499 0.00137112 0.00531785 0.0306435 0.0263051 0.047009
0.117333 0.0116199 0.00639182 0.00136762 0.00522811 0.0312809 0.0264422 0.0475408
0.118222 0.0116547 0.00642726 0.00136498 0.00522745 0.0319219 0.026579 0.0480636
0.119111 0.0115942 0.00646133 0.00136317 0.00513291 0.0325663 0.0267155 0.0485864
0.12 0.0116078 0.00649405 0.00136216 0.00511376 0.0332141 0.0268518 0.0490997
0.120889 0.0115426 0.00652544 0.00136191 0.00501716 0.0338651 0.026988 0.049611
0.121778 0.0115642 0.00655551 0.00136239 0.00500871 0.0345191 0.0271242 0.0501128
0.122667 0.0115877 0.0065843 0.00136355 0.0050034 0.0351761 0.0272605 0.0506136
0.123556 0.0116041 0.00661183 0.00136536 0.0049923 0.0358359 0.0273968 0.051114
0.124444 0.0113871 0.00663812 0.0013678 0.00474897 0.0364985 0.0275334 0.0516132
0.125333 0.0114721 0.0066632 0.00137081 0.00480889 0.0371635 0.0276701 0.0520881
0.126222 0.0114777 0.00668709 0.00137438 0.00479063 0.0378311 0.0278072 0.052569
0.127111 0.0113997 0.00670981 0.00137846 0.0046899 0.0385009 0.0279447 0.0530481
0.128 0.0114275 0.0067314 0.00138304 0.00469614 0.039173 0.0280825 0.053517
0.128889 0.011374 0.00675187 0.00138806 0.00462217 0.0398472 0.0282208 0.0539867
0.129778 0.0113652 0.00677126 0.00139351 0.0045939 0.0405233 0.0283596 0.0544489
0.130667 0.0113054 0.0067896 0.00139936 0.00451576 0.0412014 0.028499 0.0549083
0.131556 0.0111994 0.0068069 0.00140558 0.00439251 0.0418812 0.0286389 0.0553598
0.132444 0.0113038 0.00682319 0.00141214 0.00448063 0.0425627 0.0287795 0.0557991
0.133333 0.0111985 0.00683851 0.00141901 0.00435998 0.0432458 0.0289207 0.0562472
0.134222 0.0112294 0.00685288 0.00142617 0.00437656 0.0439304 0.0290626 0.0566832
0.135111 0.0112162 0.00686632 0.0014336 0.00434987 0.0446164 0.0292052 0.0571208
0.136 0.0111659 0.00687886 0.00144127 0.00428699 0.0453036 0.0293486 0.0575558
0.136889 0.0111292 0.00689054 0.00144916 0.00423864 0.0459921 0.0294927 0.0579845
0.137778 0.0111432 0.00690136 0.00145725 0.00424183 0.0466817 0.0296376 0.0584084
0.138667 0.0110142 0.00691137 0.00146552 0.00410282 0.0473723 0.0297833 0.0588325
0.139556 0.0110273 0.00692058 0.00147395 0.00410671 0.0480639 0.0299299 0.0592428
0.140444 0.0109642 0.00692902 0.00148252 0.00403515 0.0487564 0.0300773 0.0596535
0.141333 0.0108948 0.00693671 0.00149122 0.00395806 0.0494497 0.0302255 0.060057
0.142222 0.0111023 0.00694369 0.00150002 0.0041586 0.0501438 0.0303746 0.0604528
0.143111 0.0108506 0.00694997 0.00150892 0.00390065 0.0508384 0.0305246 0.0608687
0.144 0.010867 0.00695558 0.00151789 0.0039114 0.0515337 0.0306755 0.0612587
0.144889 0.0108562 0.00696055 0.00152693 0.00389561 0.0522295 0.0308273 0.0616499
0.145778 0.0109104 0.00696489 0.00153602 0.00394554 0.0529258 0.03098 0.0620394
0.146667 0.0107183 0.00696862 0.00154515 0.00374967 0.0536225 0.0311336 0.062434
0.147556 0.0108544 0.00697178 0.0015543 0.00388262 0.0543195 0.0312881 0.062809
0.148444 0.0106228 0.00697437 0.00156347 0.00364846 0.0550168 0.0314436 0.0631972
0.149333 0.0107534 0.00697644 0.00157264 0.00377694 0.0557144 0.0315999 0.0635621
0.150222 0.0106977 0.00697798 0.00158182 0.00371973 0.0564121 0.0317572 0.0639398
0.151111 0.0106895 0.00697903 0.00159097 0.00371044 0.05711 0.0319154 0.0643117
0.152 0.0105608 0.00697961 0.00160011 0.00358117 0.0578079 0.0320745 0.0646828
0.152889 0.0105502 0.00697973 0.00160922 0.00357048 0.0585059 0.0322345 0.0650409
