# Parameter : Q->GQ gs = 1.66238 P = 300 T = 1 z = 0.25 mDSqr= 4.14527 Qs^2 = 19.6581 q0= 0.777193 q3= 6.87004 muSqr= 0.444905
 t Sum LODeriv NLODeriv NLODeriv2 LOSpect NLOSpect NLOSpect2 
0.0933333 0.0170739 0.0131066 0.00184359 0.00396727 0.0783606 0.016812 0.0485872
0.0942222 0.0169801 0.0130824 0.00187219 0.00389762 0.0796701 0.0169963 0.0489839
0.0951111 0.0169839 0.0130579 0.00189929 0.00392601 0.0809771 0.0171836 0.0493736
0.096 0.0169997 0.013033 0.00192493 0.00396674 0.0822817 0.0173735 0.0497662
0.0968889 0.0169381 0.0130079 0.00194914 0.0039302 0.0835837 0.017566 0.0501629
0.0977778 0.0169512 0.0129827 0.00197197 0.00396852 0.0848832 0.0177609 0.0505559
0.0986667 0.0168498 0.0129575 0.00199345 0.0038923 0.0861802 0.0179581 0.0509528
0.0995556 0.0168693 0.0129322 0.00201363 0.00393711 0.0874747 0.0181574 0.051342
0.100444 0.0167883 0.0129071 0.00203255 0.00388127 0.0887667 0.0183588 0.0517357
0.101333 0.0167692 0.012882 0.00205024 0.00388719 0.0900561 0.0185621 0.0521239
0.102222 0.0166278 0.0128572 0.00206675 0.00377061 0.0913431 0.0187671 0.0525126
0.103111 0.0167958 0.0128326 0.00208212 0.00396323 0.0926276 0.0189738 0.0528896
0.104 0.0167784 0.0128082 0.00209639 0.00397016 0.0939096 0.019182 0.053286
0.104889 0.016665 0.0127842 0.00210959 0.00388079 0.0951892 0.0193916 0.053683
0.105778 0.0167927 0.0127606 0.00212176 0.0040321 0.0964665 0.0196026 0.0540711
0.106667 0.0165873 0.0127373 0.00213294 0.00385 0.0977414 0.0198147 0.0544743
0.107556 0.0166396 0.0127144 0.00214317 0.00392515 0.0990139 0.020028 0.0548593
0.108444 0.0165713 0.012692 0.00215248 0.00387933 0.100284 0.0202424 0.0552518
0.109333 0.0166773 0.01267 0.00216091 0.00400732 0.101552 0.0204576 0.0556397
0.110222 0.0166091 0.0126485 0.00216849 0.00396062 0.102818 0.0206737 0.0560404
0.111111 0.0166201 0.0126275 0.00217525 0.00399255 0.104082 0.0208905 0.0564365
0.112 0.0165061 0.0126071 0.00218124 0.00389906 0.105344 0.0211081 0.0568358
0.112889 0.0165275 0.0125871 0.00218648 0.00394039 0.106604 0.0213262 0.0572257
0.113778 0.016584 0.0125677 0.002191 0.00401629 0.107861 0.0215448 0.0576197
0.114667 0.0166556 0.0125488 0.00219483 0.00410685 0.109117 0.0217639 0.0580213
0.115556 0.0164774 0.0125305 0.00219801 0.00394695 0.110371 0.0219834 0.058432
0.116444 0.0164606 0.0125127 0.00220056 0.00394789 0.111623 0.0222032 0.0588267
0.117333 0.0165744 0.0124955 0.00220251 0.0040789 0.112874 0.0224233 0.0592215
0.118222 0.016712 0.0124788 0.0022039 0.0042332 0.114122 0.0226435 0.0596294
0.119111 0.0164827 0.0124627 0.00220475 0.00402004 0.115369 0.0228639 0.0600527
0.12 0.0165412 0.0124471 0.00220508 0.00409404 0.116615 0.0230844 0.0604547
0.120889 0.0165798 0.0124322 0.00220492 0.00414765 0.117859 0.0233049 0.0608641
0.121778 0.0165267 0.0124177 0.0022043 0.00410897 0.119101 0.0235254 0.0612789
0.122667 0.0164758 0.0124038 0.00220325 0.00407196 0.120342 0.0237458 0.0616898
0.123556 0.016537 0.0123905 0.00220179 0.00414655 0.121582 0.0239662 0.062097
0.124444 0.016482 0.0123777 0.00219993 0.0041043 0.12282 0.0241863 0.0625116
