# gTb, C(b)/(g^2TC_R), Derivative
8.216585246702491352e-01, 9.130419350348323304e-02, 9.186007927151450259e-02
8.289858329262335124e-01, 9.277845419847779995e-02, 9.334051082798676402e-02
8.363131411822178896e-01, 9.426214966564738784e-02, 9.483037620831655246e-02
8.436404494382022667e-01, 9.575522690850850338e-02, 9.632962166696557027e-02
8.509677576941866439e-01, 9.725763312619764567e-02, 9.783819366110892146e-02
8.582950659501710211e-01, 9.876931571311195479e-02, 9.935603885025171000e-02
8.656223742061553983e-01, 1.002902222585500547e-01, 1.008831040958459296e-01
8.729496824621397755e-01, 1.018203005463527294e-01, 1.024193364609070345e-01
8.802769907181241527e-01, 1.033594985545436412e-01, 1.039646832096309537e-01
8.876042989741085298e-01, 1.049077644549702426e-01, 1.055190918070103984e-01
8.949316072300929070e-01, 1.064650466129443834e-01, 1.070825099184519458e-01
9.022589154860771732e-01, 1.080312935868831536e-01, 1.086548854093926098e-01
9.095862237420615504e-01, 1.096064541279495042e-01, 1.102361663449166057e-01
9.169135319980459276e-01, 1.111904771796931868e-01, 1.118263009893720183e-01
9.242408402540303047e-01, 1.127833118776913890e-01, 1.134252378059877053e-01
9.315681485100146819e-01, 1.143849075491893685e-01, 1.150329254564896736e-01
9.388954567659990591e-01, 1.159952137127416155e-01, 1.166493128007182467e-01
9.462227650219834363e-01, 1.176141800778520569e-01, 1.182743488962445105e-01
9.535500732779678135e-01, 1.192417565446153016e-01, 1.199079829979870226e-01
9.608773815339521907e-01, 1.208778932033570397e-01, 1.215501645578288131e-01
9.682046897899365678e-01, 1.225225403342749403e-01, 1.232008432242337054e-01
9.755319980459209450e-01, 1.241756484070794392e-01, 1.248599688418634279e-01
9.828593063019052112e-01, 1.258371680806344706e-01, 1.265274914511941295e-01
9.901866145578895884e-01, 1.275070502025981989e-01, 1.282033612881331164e-01
9.975139228138739655e-01, 1.291852458090636813e-01, 1.298875287836357140e-01
1.004841231069858232e+00, 1.308717061241997659e-01, 1.315799445633217823e-01
1.012168539325842609e+00, 1.325663825598918655e-01, 1.332805594470925781e-01
1.019495847581826986e+00, 1.342692267153824670e-01, 1.349893244487476440e-01
1.026823155837811363e+00, 1.359801903769121412e-01, 1.367061907756011441e-01
1.034150464093795740e+00, 1.376992255173603019e-01, 1.384311098280988639e-01
1.041477772349780118e+00, 1.394262842958856607e-01, 1.401640331994349897e-01
1.048805080605764495e+00, 1.411613190575672916e-01, 1.419049126751685819e-01
1.056132388861748872e+00, 1.429042823330452516e-01, 1.436537002328404089e-01
1.063459697117733249e+00, 1.446551268381613964e-01, 1.454103480415900318e-01
1.070787005373717626e+00, 1.464138054736000005e-01, 1.471748084617718055e-01
1.078114313629702004e+00, 1.481802713245286840e-01, 1.489470340445722962e-01
1.085441621885686381e+00, 1.499544776602390328e-01, 1.507269775316266713e-01
1.092768930141670758e+00, 1.517363779337874419e-01, 1.525145918546353674e-01
1.100096238397655135e+00, 1.535259257816357081e-01, 1.543098301349811463e-01
1.107423546653639512e+00, 1.553230750232920121e-01, 1.561126456833453191e-01
1.114750854909623667e+00, 1.571277796609515109e-01, 1.579229919993249964e-01
1.122078163165608045e+00, 1.589399938791372646e-01, 1.597408227710496731e-01
1.129405471421592422e+00, 1.607596720443406069e-01, 1.615660918747975627e-01
1.136732779677576799e+00, 1.625867687046624044e-01, 1.633987533746129317e-01
