# q/gT, DeltaC(q)/gT, C(q), CMin, CMax, 2pisigma/q^3, bbLnbCoef/q^4
3.493872774749130494e-01, -2.329874935659867585e+00, 6.196159946008502573e+01, 6.186675962301686837e+01, 6.204319972570953468e+01, 6.047708253135747469e+01, -9.945077642696803366e+01
3.689173954438244585e-01, -2.313217651688993293e+00, 5.247979305689329976e+01, 5.238730722248255489e+01, 5.255873894666652291e+01, 5.137178904837194438e+01, -8.000552678321498945e+01
3.895392117442727509e-01, -2.294793602003641020e+00, 4.441115212137730595e+01, 4.432124602580012862e+01, 4.448720036842043157e+01, 4.363736806685526659e+01, -6.436233628161004106e+01
4.113137503418571872e-01, -2.274434170446612224e+00, 3.754527253325385772e+01, 3.745818779791643038e+01, 3.761816562240353079e+01, 3.706742410721133751e+01, -5.177780208674460738e+01
4.343054463316707303e-01, -2.251959175168747773e+00, 3.170326674966559821e+01, 3.161926056424264431e+01, 3.177273409313058039e+01, 3.148663612889819774e+01, -4.165387622357194175e+01
4.585823366142806612e-01, -2.227177230072453717e+00, 2.673304056462729505e+01, 2.665238487642483989e+01, 2.679880033490739422e+01, 2.674607903279585841e+01, -3.350944486870815808e+01
4.842162612301506575e-01, -2.199886552778451243e+00, 2.250527838066847153e+01, 2.242825860757805856e+01, 2.256704021094112278e+01, 2.271924954765226445e+01, -2.695746463983467223e+01
5.112830759482941412e-01, -2.169876123381592414e+00, 1.891003056639048907e+01, 1.883694351067989103e+01, 1.896749937279953357e+01, 1.929869045012470608e+01, -2.168656934351515631e+01
5.398628767382501747e-01, -2.136927606061311380e+00, 1.585381198118288459e+01, 1.578496303674180723e+01, 1.590669221036968395e+01, 1.639312303465679221e+01, -1.744627308890629891e+01
5.700402367896360012e-01, -2.100817825589881060e+00, 1.325713497476819569e+01, 1.319283407884387493e+01, 1.330513708724888389e+01, 1.392501131223951738e+01, -1.403506658298223009e+01
6.019044567806662860e-01, -2.061322307488867800e+00, 1.105241101245923474e+01, 1.099296781269264933e+01, 1.109525876027704072e+01, 1.182849293792652823e+01, -1.129084091398303968e+01
6.355498291362295937e-01, -2.018219690446574788e+00, 9.182165598494240299e+00, 9.127882940504930431e+00, 9.219605173634944251e+00, 1.004762165324775403e+01, -9.083183737756460374e+00
6.710759170575143484e-01, -1.971297476175722263e+00, 7.597518857577490792e+00, 7.548684965176384765e+00, 7.629329631591656558e+00, 8.534874342539019665e+00, -7.307181762845208262e+00
7.085878491488875053e-01, -1.920359080731367296e+00, 6.256891725431775519e+00, 6.213770744585807471e+00, 6.282898672708289389e+00, 7.249882863511786013e+00, -5.878435013189120539e+00
7.481966305138832984e-01, -1.865232445864498656e+00, 5.124903428090163970e+00, 5.087724329861798900e+00, 5.144991100366028469e+00, 6.158356810559171279e+00, -4.729045933959727499e+00
7.900194712408967757e-01, -1.805780285485695691e+00, 4.171431230952966196e+00, 4.140375095338120204e+00, 4.187269011322388934e+00, 5.231168464394991169e+00, -3.804392732984957615e+00
